location,discussion_rate_norm
NY,18.025906735751295
CO,14.625960570989358
CA,10.405543564693854
DC,138.9058086992563
OR,17.90443507777239
NV,15.883030582681219
MO,10.325755709154098
UT,9.514402993865476
TX,8.533381768767889
TN,7.9490111257355
MA,13.960742103862135
WA,16.73733541620174
NC,8.737501168115129
AZ,9.853592372441856
NJ,9.825883540743613
KY,8.41384512722314
MD,15.01952043050463
OH,11.583835555631435
CT,11.089782201181034
AL,7.741898872965979
IA,10.006407888963595
MN,12.40712182812281
FL,9.264238126919606
VA,9.565340691168505
WI,11.379771686923002
PA,10.559117782585266
SC,6.423094339908636
IL,10.294924936153963
RI,14.978662471385102
ID,8.494075651033267
GA,7.737765466297322
IN,7.7582482815773925
ND,7.272481708409846
MI,9.997568159096437
AR,7.284233425072925
WY,5.851224024437465
DE,11.814196018716917
AK,16.980577256794646
SD,8.25357664282424
NE,11.065573770491802
KS,7.198634316232577
ME,16.758704190414317
OK,4.936798949489279
LA,7.3265614869245725
MS,4.382401623511248
NM,7.030878859857482
HI,8.887751256728029
WV,8.597965902277329
MT,10.783410138248847
VT,21.33971706423255
NH,11.14997813729777
